model,model_key,file,source,error_type,player_name,tag_text,position,country,spacy_text,context
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FN,Florian Wirtz,<WIRTZ_ATTACKING-MIDFIELD_GER>,Attacking Midfield,GER,,Allianz Arena after just 10 minutes as Florian Wirtz waltzed on to the ball to steer in the
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FN,Florian Wirtz,<WIRTZ_ATTACKING-MIDFIELD_GER>,Attacking Midfield,GER,,Allianz Arena after just 10 minutes as Florian Wirtz waltzed on to the ball to steer in the
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FN,Jamal Musiala,<MUSIALA_ATTACKING-MIDFIELD_GER>,Attacking Midfield,GER,,on to the ball to steer in the opener. Jamal Musialaas ferocious strike almost punctured Ang
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FN,Fullkrug,<FULLKRUG_CENTRE-FORWARD_GER>,Centre Forward,GER,,mb. There was still time for substitute Fullkrug to hammer high into the net for Germany
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FN,Emre Can,<CAN_ATTACKING-MIDFIELD_GER>,Attacking Midfield,GER,,"the suffering Scotland crowd, only for Emre Can to mute those in dark blue as the game"
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FP,,,,,Angus Gunnas,"alaas ferocious strike almost punctured Angus Gunnas net, as well as the hearts of the mass"
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FP,,,,,Ryan Porteous',high line being plundered repeatedly.  Ryan Porteous' dreadful red for a two-footed challenge
en_core_web_sm,sm,Reports/BBC/01_GER_SCO.json,Reports,FP,,,,,Julian Nagelsmann,"d celebrate own goal Germany head coach Julian Nagelsmann: ""We were brilliant in the first 20 min"
en_core_web_sm,sm,Reports/BBC/02_HUN_SUI.json,Reports,FN,Breel Embolo,<EMBOLO_CENTRE-FORWARD_SUI>,Centre Forward,SUI,,ed cross beyond Yann Sommer. Substitute Breel Embolo clinched the three points in stoppage t
en_core_web_sm,sm,Reports/BBC/02_HUN_SUI.json,Reports,FN,Gulacsi,<GULACSI_GOALKEEPER_HUN>,Goalkeeper,HUN,,e time with a lovely lobbed finish over Gulacsi. Scotland remain bottom of Group A afte
en_core_web_sm,sm,Reports/BBC/02_HUN_SUI.json,Reports,FN,Gulacsi,<GULACSI_GOALKEEPER_HUN>,Goalkeeper,HUN,,e time with a lovely lobbed finish over Gulacsi. Scotland remain bottom of Group A afte
en_core_web_sm,sm,Reports/BBC/02_HUN_SUI.json,Reports,FN,Gulacsi,<GULACSI_GOALKEEPER_HUN>,Goalkeeper,HUN,,e time with a lovely lobbed finish over Gulacsi. Scotland remain bottom of Group A afte
